asset,current_price,prev_close,opens,bids,ask,day_range_min,day_range_max,fifty_two_wk_min,fifty_two_wk_max,volume,avg_volume,market_cap,beta,PE_ratio,eps,earnings_date_min,earnings_date_max,dividend_yield,dividend_date,one_year_est,RSI,Adj_Close,Change,Gain,Loss,AVG_gain,AVG_Loss,RS,target
(BAC),25.71,26.78,25.47,25480.0,25480.0,25.1,26.21,25.1,35.72,118919348.0,54549159.0,224.411,1.63,9.35,2.75,A,p,"['0.72', '(2.69%)']","Mar 04, 2020",36.67,21.058352827207198,25.71,-1.0700000000000005,0.0,1.0700000000000005,0.14530537401282165,0.5447076351010175,0.26675846756925736,0.0
(AMD),48.59,48.11,49.44,47640.0,47670.0,46.74,49.54,21.04,59.27,124590861.0,61645381.0,56.834,2.83,161.97,0.3,"Apr 27, 2020 "," May 03, 2020","['N/A', '(N/A)']","Apr 26, 1995",49.0,,,,,,,,,
(F),6.49,6.74,6.6,6480.0,6490.0,6.4,6.68,6.4,10.56,107125744.0,60397322.0,25.732,1.16,649.0,0.01,A,p,"['0.60', '(8.90%)']","Jan 28, 2020",9.36,20.849676506270786,6.49,-0.25,0.0,0.25,0.033049300043748404,0.1254629916640315,0.2634187149964413,0.0
(ABEV),3.33,3.31,3.25,3260.0,3430.0,3.24,3.36,3.1,5.45,84110179.0,25497170.0,52.621,0.63,18.92,0.17600000000000002,N,/,"['0.12', '(3.65%)']","Dec 19, 2019",4.6,31.614116255810146,3.33,0.020000000000000014,0.020000000000000014,0.0,0.023123926210597653,0.05002038066639075,0.4622900886105186,2.0
(AAPL),288.95,292.92,282.0,286010.0,286000.0,281.23,290.79,169.5,327.85,56544246.0,37126877.0,1.264T,1.29,22.94,12.6,"Apr 27, 2020 "," May 03, 2020","['3.08', '(1.05%)']","Feb 06, 2020",333.57,,,,,,,,,
(AAL),15.97,16.04,15.02,16000.0,16000.0,14.8,17.12,14.8,35.24,54504970.0,12493891.0,6.802,1.9,4.21,3.79,"Apr 23, 2020 "," Apr 27, 2020","['0.40', '(2.49%)']","Feb 03, 2020",32.87,,,,,,,,,
(CY),16.37,19.18,16.61,16290.0,16350.000000000002,15.92,17.16,14.42,23.55,51673645.0,5958339.0,6.117,1.77,148.82,0.11,"Apr 22, 2020 "," Apr 26, 2020","['0.44', '(2.29%)']","Mar 24, 2020",23.73,,,,,,,,,
(T),37.03,37.18,36.71,36900.0,36980.0,36.18,37.25,29.74,39.7,47834674.0,33807603.0,265.612,0.58,19.54,1.89,A,p,"['2.08', '(5.59%)']","Jan 08, 2020",39.43,,,,,,,,,
(MSFT),161.57,166.27,162.61,160200.0,160400.0,156.0,163.11,108.8,190.7,72821057.0,33603162.0,1.229T,1.09,28.14,5.74,"Apr 21, 2020 "," Apr 26, 2020","['2.04', '(1.23%)']","Feb 18, 2020",194.19,,,,,,,,,
(WFC),37.09,38.9,37.0,36760.0,36970.0,36.33,37.68,36.33,54.75,55504167.0,22848978.0,152.065,1.15,9.16,4.05,A,p,"['2.04', '(5.24%)']","Feb 05, 2020",49.45,20.932886498518783,37.09,-1.8099999999999952,0.0,1.8099999999999952,0.2089434498880721,0.7892153558879826,0.2647483330490702,0.0
(ITUB),6.4,6.66,6.47,6280.0,6540.0,6.33,6.54,6.33,10.01,36676691.0,23614091.0,59.778,1.01,10.0,0.64,N,/,"['0.17', '(2.51%)']","Mar 01, 2020",9.57,25.644901903044072,6.4,-0.2599999999999998,0.0,0.2599999999999998,0.03595976362183076,0.10426211657012392,0.3448976944338664,0.0
(BBD),6.12,6.39,6.17,6130.0,6420.0,6.1,6.32,6.1,10.55,28606150.0,15857650.0,47.161,1.21,8.74,0.7,N,/,"['0.23', '(3.65%)']","Mar 02, 2020",9.88,19.176296281704765,6.12,-0.2699999999999996,0.0,0.2699999999999996,0.024264635106841,0.10226988829844652,0.23726079602268985,0.0
(PFE),35.02,35.46,34.7,34710.0,34950.0,34.12,35.17,32.53,44.56,37525350.0,24944100.0,194.278,0.69,12.21,2.87,"Apr 27, 2020 "," May 03, 2020","['1.52', '(4.29%)']","Jan 29, 2020",42.07,43.68605766005452,35.02,-0.4399999999999977,0.0,0.4399999999999977,0.2869278481973965,0.36986716505406575,0.7757591787188098,2.0
(SIRI),6.44,6.64,6.36,6400.0,6460.0,6.33,6.55,5.23,7.4,33961744.0,20369236.0,28.426,1.03,32.2,0.2,"Apr 21, 2020 "," Apr 26, 2020","['0.05', '(0.80%)']","Feb 10, 2020",7.57,,,,,,,,,
(JPM),108.08,113.97,106.26,107330.0,107730.0,105.02,110.32,98.09,141.1,38030011.0,12677000.0,332.236,1.18,10.08,10.72,A,p,"['3.60', '(3.16%)']","Jan 02, 2020",137.65,,,,,,,,,
(MS),41.84,42.59,40.51,41450.0,41690.0,40.34,42.24,38.76,57.57,30367469.0,12762075.0,64.116,1.38,8.06,5.19,"Apr 14, 2020 "," Apr 19, 2020","['1.40', '(3.29%)']","Jan 29, 2020",59.86,,,,,,,,,
(MU),51.47,53.72,52.2,51180.0,51340.0,50.0,53.19,32.14,61.19,30313741.0,26064237.0,57.176,1.98,16.69,3.08,M,a,"['N/A', '(N/A)']","May 06, 1996",67.65,,,,,,,,,
(CSCO),39.65,39.57,38.0,39820.0,39500.0,37.81,39.95,37.81,58.26,48605591.0,23699242.0,168.13,1.2,15.46,2.56,M,a,"['1.44', '(3.64%)']","Apr 01, 2020",52.5,,,,,,,,,
(KGC),5.57,5.73,5.77,5410.0,5560.0,5.34,5.78,3.0,6.27,27475195.0,15063216.0,7.011,0.48,9.77,0.57,N,/,"['N/A', '(N/A)']","Mar 18, 2013",6.09,,,,,,,,,
(SCHW),34.13,34.8,33.05,33850.0,35900.0,32.64,35.06,32.64,51.65,29017005.0,11187308.0,43.899,1.31,12.78,2.67,"Apr 12, 2020 "," Apr 16, 2020","['0.72', '(2.07%)']","Feb 12, 2020",52.15,21.037293268866662,34.13,-0.6699999999999946,0.0,0.6699999999999946,0.2450989029077953,0.9199697196346299,0.2664206198059838,0.0
(INTC),55.77,56.96,55.18,55480.0,55650.0,54.55,56.01,42.86,69.29,36259158.0,24017170.0,238.528,0.96,11.84,4.71,A,p,"['1.32', '(2.32%)']","Feb 05, 2020",65.75,,,,,,,,,
(C),61.28,63.49,60.46,60800.0,61050.0,59.74,62.31,59.74,83.11,28693628.0,14700988.0,129.086,1.76,7.63,8.04,A,p,"['2.04', '(3.21%)']","Jan 30, 2020",90.65,28.260656020353395,61.28,-2.210000000000001,0.0,2.210000000000001,0.5145350948430089,1.3061413058479,0.3939352446318901,0.0
(JD),42.16,44.62,43.0,41870.0,41920.0,41.2,43.85,25.48,45.34,24325346.0,13136813.0,61.56,1.26,286.8,0.15,"May 07, 2020 "," May 11, 2020","['N/A', '(N/A)']",,326.96,,,,,,,,,
(CMCSA),40.39,40.77,38.91,39660.0,40300.0,38.83,40.6,37.89,47.74,29362829.0,22935336.0,183.897,0.96,14.27,2.83,"Apr 22, 2020 "," Apr 26, 2020","['0.92', '(2.26%)']","Mar 30, 2020",51.17,,,,,,,,,
(KR),32.04,33.47,32.72,31560.0,32170.0,31.51,32.99,20.7,33.7,14392589.0,6694081.0,25.651,0.57,15.71,2.04,M,a,"['0.64', '(1.91%)']","Feb 12, 2020",30.44,,,,,,,,,
(FB),181.02,185.17,178.33,179600.0,179900.0,176.27,183.78,159.28,224.2,24559550.0,16314204.0,515.988,1.05,28.15,6.43,"Apr 21, 2020 "," Apr 26, 2020","['N/A', '(N/A)']",,245.65,31.81603199554553,181.09,-4.079999999999984,0.0,4.079999999999984,1.351196751123238,2.8957085553348865,0.4666204230511635,2.0
(RF),12.98,13.81,13.07,12920.0,12980.0,12.73,13.54,12.73,17.54,21246925.0,11009349.0,12.427,1.5,8.65,1.5,A,p,"['0.62', '(4.49%)']","Mar 04, 2020",17.99,29.30152211567245,12.98,-0.8300000000000001,0.0,0.8300000000000001,0.1079439836977834,0.2604463793408916,0.4144576091668308,0.0
(KMI),19.33,19.7,19.19,19220.0,19300.0,18.6,19.44,18.4,22.58,22383635.0,13682808.0,43.784,0.82,20.09,0.96,"Apr 14, 2020 "," Apr 19, 2020","['1.00', '(5.08%)']","Jan 30, 2020",22.35,,,,,,,,,
(ZNGA),7.06,7.23,7.07,7060.0,7090.0,6.85,7.2,4.99,7.42,23107153.0,19204093.0,6.718,0.27,176.5,0.04,"Apr 28, 2020 "," May 03, 2020","['N/A', '(N/A)']",,7.72,,,,,,,,,
(DIS),115.27,113.98,110.76,114600.0,114800.0,110.32,115.87,107.32,153.41,22099671.0,11579796.0,208.113,1.04,19.4,5.94,"May 07, 2020 "," May 12, 2020","['1.76', '(1.54%)']","Dec 12, 2019",160.21,27.61488695686437,115.27,1.289999999999992,1.289999999999992,0.0,0.6954180551199155,1.822854267363925,0.3814995348616524,0.0
(VZ),56.87,57.16,55.29,56180.0,56860.0,55.1,57.21,52.18,62.22,21920897.0,14791381.0,235.206,0.51,12.23,4.65,A,p,"['2.46', '(4.30%)']","Jan 08, 2020",61.79,,,,,,,,,
(TWTR),33.46,34.97,33.81,33300.0,33340.0,32.51,33.99,28.63,45.86,19884996.0,17171257.0,26.175,0.37,17.89,1.87,A,p,"['N/A', '(N/A)']",,36.09,,,,,,,,,
(GM),28.69,30.1,29.21,28650.0,28670.0,28.45,29.54,28.45,41.9,19410447.0,10815452.0,40.998,1.3,6.28,4.57,M,a,"['1.52', '(5.05%)']","Mar 04, 2020",47.63,,,,,,,,,
(MRO),6.83,7.8,7.45,6820.0,6880.0,6.78,7.58,6.78,18.93,31680244.0,14770960.0,5.436,2.49,11.58,0.59,M,a,"['0.20', '(2.56%)']","Feb 17, 2020",16.17,,,,,,,,,
(SAN),3.4,3.4,3.39,3410.0,3470.0,3.34,3.45,3.34,5.25,19309174.0,9425763.0,57.889,1.38,7.05,0.48200000000000004,"Jan 24, 2017 "," Jan 31, 2017","['0.30', '(8.78%)']","Oct 29, 2019",4.28,,,,,,,,,
(CPE),1.3,1.8,1.69,1350.0,1350.0,1.28,1.7,1.28,8.52,34976999.0,15961226.0,515.689M,1.64,5.44,0.239,"May 03, 2020 "," May 07, 2020","['N/A', '(N/A)']","Jun 25, 1998",6.31,,,,,,,,,
(KO),55.26,56.74,54.94,55020.0,55190.0,53.98,55.91,44.61,60.13,21418728.0,13097659.0,237.081,0.43,26.7,2.07,"Apr 20, 2020 "," Apr 26, 2020","['1.64', '(2.89%)']","Mar 12, 2020",63.5,41.75767223303772,55.26,-1.4800000000000042,0.0,1.4800000000000042,0.41603278753124107,0.580269844496426,0.7169643424987656,2.0
(WPX),6.5,7.81,7.41,6500.0,6590.0,6.35,7.55,6.35,15.33,17829111.0,8094739.0,2.642,2.37,3.8,1.71,"Apr 28, 2020 "," May 03, 2020","['N/A', '(N/A)']",,17.56,13.668994096661393,6.5,-1.3099999999999996,0.0,1.3099999999999996,0.05629373971638663,0.35554153739545424,0.1583323853768833,0.0
(HBAN),11.12,11.78,11.12,11060.0,11340.0,10.87,11.61,10.87,15.63,20856393.0,10829718.0,11.333,1.44,8.76,1.27,"Oct 20, 2019 "," Oct 24, 2019","['0.60', '(5.09%)']","Mar 16, 2020",14.96,,,,,,,,,
(WU),22.35,22.38,21.46,21210.0,22680.0,21.42,22.62,17.52,28.45,16536448.0,6825822.0,9.233,0.87,9.09,2.46,"May 04, 2020 "," May 10, 2020","['0.90', '(4.02%)']","Mar 15, 2020",25.44,,,,,,,,,
(UAL),52.1,51.59,48.61,52200.0,52210.0,48.27,56.0,48.27,96.03,16492236.0,4565755.0,12.918,1.37,4.5,11.58,"Apr 13, 2020 "," Apr 19, 2020","['N/A', '(N/A)']","Jan 06, 2008",104.27,17.360296968899988,52.1,0.509999999999998,0.509999999999998,0.0,0.3766079700831199,1.792755669017019,0.21007211221907152,0.0
(SQ),73.09,76.32,75.03,72260.0,72850.0,70.27,75.94,54.41,87.25,16033821.0,8459568.0,31.811,2.7,90.23,0.81,"Apr 28, 2020 "," May 03, 2020","['N/A', '(N/A)']",,83.17,40.23535923655047,73.09,-3.2299999999999898,0.0,3.2299999999999898,0.7494062110208224,1.1131500709175015,0.6732301695881244,2.0
(HPE),11.99,11.79,11.45,11730.0,11980.0,11.4,12.07,11.4,17.59,15766612.0,9551555.0,15.505,1.45,13.44,0.89,"May 20, 2020 "," May 24, 2020","['0.48', '(4.07%)']","Mar 09, 2020",15.93,24.667516147431783,11.99,0.20000000000000107,0.20000000000000107,0.0,0.06161048447293795,0.18815314841456876,0.3274485970183608,0.0
(RCL),65.01,65.78,62.7,64209.99999999999,64980.00000000001,60.36,69.96,60.36,135.32,16897016.0,3277859.0,13.587,1.75,7.26,8.95,"Apr 28, 2020 "," May 03, 2020","['3.12', '(4.74%)']","Mar 04, 2020",134.67,,,,,,,,,
(ORCL),47.37,48.0,46.57,46710.0,47340.0,46.46,48.3,46.46,60.5,23885134.0,11139422.0,158.323,1.11,15.02,3.15,M,a,"['0.96', '(1.89%)']","Jan 07, 2020",55.63,31.566282920797946,47.37,-0.6300000000000026,0.0,0.6300000000000026,0.3153549311218119,0.6836696670960394,0.4612679870109142,2.0
(PE),10.57,12.66,12.03,10570.0,10500.0,10.36,12.24,10.36,22.11,15233748.0,6379037.0,4.362,1.01,16.86,0.63,"Apr 28, 2020 "," May 03, 2020","['0.20', '(1.54%)']","Mar 08, 2020",24.7,,,,,,,,,
(V),184.36,186.96,183.54,182450.0,183500.0,179.98,185.99,144.5,214.17,14437868.0,9367170.0,408.521,0.93,33.66,5.48,"Apr 21, 2020 "," Apr 26, 2020","['1.20', '(0.64%)']","Feb 12, 2020",227.82,,,,,,,,,
(BMY),60.31,60.5,58.88,59770.0,60200.0,58.76,60.42,42.48,68.34,14532140.0,14471059.0,136.15,0.78,30.0,2.01,"Apr 22, 2020 "," Apr 26, 2020","['1.80', '(2.98%)']","Apr 01, 2020",73.0,,,,,,,,,
(DD),40.5,42.42,41.04,40240.0,40470.0,39.9,42.12,23.75,83.72,12961450.0,6925403.0,29.945,1.11,60.81,0.67,"Apr 29, 2020 "," May 03, 2020","['1.20', '(2.72%)']","Feb 26, 2020",68.53,21.693486208854466,40.5,-1.9200000000000017,0.0,1.9200000000000017,0.2543220357419281,0.918020820050993,0.2770329715700798,0.0
(HST),13.46,13.15,12.68,12620.0,13520.0,12.57,13.62,12.57,19.99,19090816.0,8585159.0,9.402,1.27,10.68,1.26,"Apr 28, 2020 "," May 03, 2020","['0.80', '(6.08%)']","Mar 29, 2020",18.13,27.210941440094643,13.46,0.3100000000000005,0.3100000000000005,0.0,0.10297595677514593,0.2754598904440665,0.37383285315745707,0.0
(CLF),5.18,5.46,5.27,5160.0,5180.0,5.01,5.71,5.01,11.61,14688683.0,10779044.0,1.406,2.0,5.01,1.03,"Apr 22, 2020 "," Apr 26, 2020","['0.24', '(4.20%)']","Apr 01, 2020",7.89,23.855081062876987,5.18,-0.28000000000000025,0.0,0.28000000000000025,0.050688163890254496,0.16179555711094906,0.3132852644123954,0.0
(CIG),2.95,3.09,2.9,3000.0,3170.0,2.84,2.98,2.84,4.11,5860094.0,3816601.0,4.428,1.0,13.85,0.213,N,/,"['0.18', '(5.78%)']","Jan 02, 2020",4.1,34.43607312717003,2.95,-0.13999999999999968,0.0,0.13999999999999968,0.02708082554189466,0.05156003876887341,0.5252289600341271,2.0
(MRK),82.2,81.58,79.97,81710.0,81940.0,79.43,82.62,72.23,92.64,13546179.0,10677495.0,208.481,0.69,21.57,3.81,A,p,"['2.44', '(2.99%)']","Mar 12, 2020",97.67,48.14305730379201,82.2,0.6200000000000045,0.6200000000000045,0.0,0.6601297035103707,0.7110538907196851,0.9283820989183084,2.0
(IBN),12.91,13.05,12.93,12830.0,12890.0,12.66,12.94,10.43,15.42,9491335.0,6552475.0,43.614,0.75,37.1,0.35,N,/,"['0.03', '(0.22%)']","Jul 22, 2019",19.45,,,,,,,,,
(VIPS),16.51,16.66,16.14,16450.0,16490.0,15.94,16.9,6.17,17.06,11818257.0,5738395.0,11.045,1.97,34.25,0.48,"May 19, 2020 "," May 24, 2020","['N/A', '(N/A)']",,103.26,,,,,,,,,
(ZAYO),34.99,34.96,34.96,34980.0,34990.0,34.94,34.99,27.04,35.01,12723039.0,3736134.0,8.314,0.6,47.16,0.74,"May 05, 2020 "," May 10, 2020","['N/A', '(N/A)']",,35.0,,,,,,,,,
(NVDA),266.04,273.29,266.08,263100.0,264150.0,258.0,268.38,132.6,316.32,12284335.0,10615632.0,169.356,2.03,58.86,4.52,"May 13, 2020 "," May 17, 2020","['0.64', '(0.23%)']","Feb 26, 2020",303.15,,,,,,,,,
(USB),42.45,43.78,41.68,41010.0,42520.0,41.4,42.73,41.4,61.11,13378478.0,7253618.0,64.63,1.14,10.2,4.16,A,p,"['1.68', '(3.84%)']","Dec 29, 2019",57.66,19.375283859378285,42.45,-1.3299999999999983,0.0,1.3299999999999983,0.20318629084866904,0.8455017816634669,0.2403144443396842,0.0
(CVX),95.32,97.19,93.92,94510.0,95870.0,93.42,96.06,90.11,127.34,16576474.0,7689839.0,179.137,1.06,61.9,1.54,"Apr 23, 2020 "," Apr 27, 2020","['5.16', '(5.31%)']","Feb 13, 2020",129.14,,,,,,,,,
(ABBV),88.82,90.61,88.73,88600.0,88750.0,87.26,89.76,62.66,97.86,12521280.0,9190624.0,131.379,0.79,16.82,5.28,"Apr 22, 2020 "," Apr 26, 2020","['4.72', '(5.21%)']","Apr 13, 2020",100.77,,,,,,,,,
(PBR-A),9.89,10.95,10.09,9920.0,11930.0,9.72,10.27,9.72,15.75,11485168.0,6490365.0,66.748,1.9,13.47,0.73,N,/,"['0.40', '(3.62%)']","Dec 26, 2019",18.44,22.942649639700065,9.89,-1.0599999999999987,0.0,1.0599999999999987,0.08507980976204886,0.2857570861421905,0.2977347330582515,0.0
(SBUX),75.34,76.19,73.46,75000.0,75210.0,72.05,75.71,69.03,99.72,18080148.0,8142414.0,88.427,0.53,24.68,3.05,A,p,"['1.64', '(1.99%)']","Feb 04, 2020",93.71,30.638969954725,75.34,-0.8499999999999943,0.0,0.8499999999999943,0.4984995027234545,1.1285117951761945,0.44173176111608464,2.0
(HBI),12.02,12.4,12.07,12000.0,12480.0,12.01,12.55,12.01,19.1,12292583.0,7055113.0,4.357,1.04,7.33,1.64,"Apr 29, 2020 "," May 03, 2020","['0.60', '(4.84%)']","Feb 13, 2020",16.57,34.52186079015564,12.02,-0.3800000000000008,0.0,0.3800000000000008,0.12768323858132172,0.2421787435333048,0.5272272732051834,2.0
(SABR),10.15,10.74,10.3,10000.0,10400.0,9.89,10.92,9.89,25.44,12223208.0,2412681.0,2.779,1.17,17.68,0.57,"Apr 27, 2020 "," May 03, 2020","['0.56', '(5.21%)']","Mar 18, 2020",18.5,7.638661023672185,10.15,-0.5899999999999999,0.0,0.5899999999999999,0.053207721338651065,0.6433504997129248,0.08270409576489543,0.0
(AXP),108.24,110.94,105.73,106010.0,107980.0,103.79,108.77,103.79,138.13,9472923.0,3814045.0,87.462,1.09,13.55,7.99,"Apr 15, 2020 "," Apr 19, 2020","['1.72', '(1.55%)']","Jan 01, 2020",139.13,,,,,,,,,
(LYG),2.3,2.34,2.34,2300.0,2550.0,2.28,2.39,2.28,3.58,17255125.0,8706542.0,41.872,0.78,7.67,0.3,N,/,"['0.11', '(4.44%)']","Aug 08, 2019",2.59,23.20425260930232,2.3,-0.040000000000000036,0.0,0.040000000000000036,0.013828029365400042,0.045764622025821884,0.3021554369573471,0.0
(JNJ),142.03,142.01,138.48,141200.0,141600.0,137.41,143.01,126.1,154.5,11926830.0,7367193.0,374.209,0.75,25.23,5.63,A,p,"['3.80', '(2.68%)']","Feb 23, 2020",161.88,45.68104619011469,142.03,0.020000000000010232,0.020000000000010232,0.0,0.9652859654125188,1.1478135494173434,0.8409780193852217,2.0
(AMCR),9.32,9.39,9.51,9040.0,9550.0,9.1,9.39,9.1,11.77,10529988.0,7669198.0,14.95,0.24,29.78,0.31,F,e,"['0.46', '(4.71%)']","Mar 02, 2020",10.37,37.834372693313796,9.32,-0.07000000000000027,0.0,0.07000000000000027,0.07049130148807274,0.11582420071273468,0.6086059826383274,2.0
(LUV),45.73,45.25,43.56,45120.0,45980.0,42.72,46.8,42.72,58.83,10396150.0,4803563.0,23.656,1.6,10.71,4.27,A,p,"['0.72', '(1.59%)']","Mar 02, 2020",56.13,,,,,,,,,
(SYF),28.25,29.26,28.1,28050.0,28240.0,27.75,28.87,27.75,38.18,10653433.0,6442578.0,17.331,1.2,5.08,5.56,"Apr 15, 2020 "," Apr 19, 2020","['0.88', '(3.01%)']","Feb 05, 2020",39.06,,,,,,,,,
(TJX),58.56,59.57,57.26,58120.0,58520.0,57.02,59.08,49.05,64.95,10226018.0,5205398.0,70.458,0.6,21.95,2.67,M,a,"['0.92', '(1.54%)']","Feb 11, 2020",70.38,,,,,,,,,
(RDS-A),41.87,43.73,42.7,41870.0,41990.0,41.67,42.95,41.67,66.48,10347578.0,4503759.0,163.52,0.93,10.74,3.9,N,/,"['3.76', '(8.60%)']","Feb 12, 2020",72.93,,,,,,,,,
(BX),54.06,57.79,55.13,53510.0,53990.0,52.68,55.46,32.44,64.97,10095991.0,4237434.0,64.7,1.52,17.84,3.03,"Apr 15, 2020 "," Apr 19, 2020","['2.44', '(4.22%)']","Feb 06, 2020",64.5,,,,,,,,,
(NEM),52.35,52.08,52.18,52080.0,52320.0,50.16,52.49,29.77,52.49,11795816.0,7889786.0,42.277,0.09,13.73,3.81,"Apr 22, 2020 "," Apr 26, 2020","['0.56', '(1.08%)']","Mar 03, 2020",51.59,,,,,,,,,
(JCI),38.16,38.82,37.28,37010.0,38890.0,37.26,38.48,35.12,44.82,9818079.0,5582754.0,29.108,1.1,5.83,6.55,"Apr 28, 2020 "," May 03, 2020","['1.04', '(2.68%)']","Mar 12, 2020",44.27,,,,,,,,,
(AMAT),57.82,59.13,57.0,56510.0,57390.0,56.25,58.47,36.8,69.44,8958735.0,7866208.0,53.096,1.45,19.18,3.02,M,a,"['0.84', '(1.42%)']","Feb 17, 2020",75.73,,,,,,,,,
(BBVA),4.52,4.52,4.51,4490.0,4500.0,4.46,4.6,4.46,6.44,9561761.0,6375224.0,30.625,1.25,6.3,0.718,N,/,"['0.47', '(10.29%)']","Apr 06, 2020",7.58,,,,,,,,,
(QCOM),77.47,79.17,76.33,76660.0,77100.0,75.83,78.08,53.03,96.17,8398503.0,10009362.0,88.551,1.53,21.98,3.52,A,p,"['2.48', '(3.08%)']","Mar 03, 2020",99.87,39.01588197604134,77.47,-1.7000000000000028,0.0,1.7000000000000028,0.7705181653900374,1.204365206112862,0.6397711935542509,2.0
(CNP),21.55,22.67,22.0,21010.0,23550.0,21.07,22.11,21.07,31.17,10889407.0,5900406.0,10.823,0.64,16.2,1.33,"May 06, 2020 "," May 10, 2020","['1.16', '(5.12%)']","Feb 18, 2020",27.0,,,,,,,,,
(AES),16.82,16.73,16.13,16360.0,16810.0,15.89,16.93,14.6,21.23,9260566.0,4550144.0,11.169,1.12,37.29,0.45,"May 04, 2020 "," May 10, 2020","['0.57', '(3.43%)']","Jan 29, 2020",20.0,,,,,,,,,
(VEON),1.94,2.02,1.98,1930.0,1970.0,1.92,2.0,1.85,3.28,13903651.0,6289800.0,3.393,1.63,5.46,0.355,N,/,"['0.30', '(14.85%)']","Feb 25, 2020",3.42,,,,,,,,,
(AIG),37.84,40.65,39.16,37430.0,37750.0,37.42,39.55,37.42,58.66,14567360.0,5315783.0,32.76,1.15,10.11,3.74,"May 03, 2020 "," May 07, 2020","['1.28', '(3.15%)']","Mar 12, 2020",57.87,21.573421848723527,37.84,-2.809999999999995,0.0,2.809999999999995,0.25290467313643444,0.9193927718857072,0.27507794369289845,0.0
(QD),2.11,2.3,2.24,2110.0,2130.0,2.1,2.31,2.1,9.205,7377800.0,7780695.0,589.112M,1.37,2.0,1.053,N,o,"['N/A', '(N/A)']",,28.71,33.566968191530194,2.11,-0.18999999999999995,0.0,0.18999999999999995,0.04584603886345025,0.09073477654369867,0.5052752716194808,2.0
(NYCB),11.76,11.72,11.45,11120.0,11770.0,11.38,11.88,9.38,13.79,8956928.0,4709852.0,5.375,0.98,15.29,0.77,"Apr 27, 2020 "," May 03, 2020","['0.68', '(6.07%)']","Feb 06, 2020",11.95,60.19059065671553,11.76,0.03999999999999915,0.03999999999999915,0.0,0.08872229848540086,0.058679974058176536,1.5119689452732157,2.0
(MDT),99.06,100.18,97.28,97080.0,99250.0,96.79,99.43,82.77,122.15,6648164.0,4864029.0,132.757,0.67,24.7,4.01,M,a,"['2.16', '(2.16%)']","Dec 25, 2019",126.17,28.045164958649693,99.06,-1.1200000000000043,0.0,1.1200000000000043,0.5059988175056325,1.2982295343392805,0.389760673379808,0.0
(AMTD),35.16,35.88,34.22,34060.0,35650.0,33.5,36.19,32.69,56.37,8835595.0,4639042.0,19.009,1.24,9.79,3.59,"Apr 20, 2020 "," Apr 26, 2020","['1.24', '(3.46%)']","Feb 03, 2020",51.62,21.510205840484872,35.16,-0.720000000000006,0.0,0.720000000000006,0.2765128025356962,1.0089830434188076,0.2740509905882745,0.0
(NKE),88.36,90.58,88.36,87160.0,88290.0,85.88,89.39,77.07,105.62,12333530.0,6804296.0,137.609,0.86,30.9,2.86,M,a,"['0.98', '(1.08%)']","Feb 27, 2020",110.11,34.544645314896044,88.36,-2.2199999999999993,0.0,2.2199999999999993,0.6014714943969842,1.1396709863382948,0.5277588897208674,2.0
(FHN),12.63,13.16,12.64,12500.0,12990.0,12.45,13.08,12.45,17.42,10871434.0,4873762.0,3.936,1.36,9.15,1.38,"Apr 13, 2020 "," Apr 19, 2020","['0.60', '(4.56%)']","Mar 11, 2020",19.08,,,,,,,,,
(MTDR),6.55,9.09,8.67,6710.0,6540.0,6.47,8.95,6.47,22.25,8756248.0,3062001.0,793.153M,2.33,8.73,0.75,"Apr 28, 2020 "," May 03, 2020","['N/A', '(N/A)']",,21.53,,,,,,,,,
